"","pf_rol","pf_ss","pf_movement","pf_religion","pf_association","pf_expression","pf_identity","ef_government","ef_legal","ef_money","ef_trade","ef_regulation"
"Mali",-0.721736923932017,-1.8814058897254,0.242592787835453,0.68522549135212,0.1850407487511,0.111087081648523,-0.639746349245051,-1.25756155647982,-1.14581690986354,-0.743103528343868,-0.121367325279539,-0.471127727600399
"Malta",1.08710087185427,1.26683448732863,0.847208659469119,0.595166328838442,1.14199962920249,1.08284611531356,0.978768620737987,-0.46235851618293,0.93651731304108,0.886585212808981,1.18914939342345,1.11765811858061
"Mauritania",-0.719520705779894,-1.58149806971467,0.242592787835453,-1.05460358763947,-0.580526355610015,-1.04398377739116,-2.25826131922809,-0.942485243412584,-0.97274957356736,-0.102185235919561,-0.914266858053074,-0.295023330210267
"Mauritius",0.821117501886627,0.793731725467018,-0.362023083435443,0.346901045707016,0.759216077021937,1.03131343947795,-0.639746349245051,0.838408994681551,1.01140051732561,0.962751387281892,1.19256224983247,0.710237001519346
"Mexico",-0.726402664911188,-1.42491119544541,0.847208659469119,0.0740940932345202,0.567824300931658,-0.438685852582199,0.978768620737987,1.16958951226701,-0.7095294110813,-0.097255858457115,0.204593668794526,0.0906628097170349
"Moldova",-0.402215056224009,0.431198289194976,0.242592787835453,-0.826716655508262,-0.389134579519736,-0.198108974601952,0.978768620737987,0.0129440774281276,-0.572387437410625,-0.185449145199251,0.373482640976367,-0.107756852353016
"Mongolia",0.0883199345927178,0.590818378819018,0.847208659469119,0.675145877063383,0.567824300931658,0.339303218375379,0.735991375240531,1.23809360068792,0.222187640074456,0.819718359184653,-0.201635322498329,0.234995179404557
"Montenegro",-0.00270645125347302,0.553134075482454,0.847208659469119,0.854387714174673,0.234842470934212,-1.52139447700978,0.65506562674138,0.361710884216847,-0.189838707599327,0.0181382344784061,0.968798394982984,-0.0756660533740329
"Morocco",-0.556865032156954,0.224203545690485,0.242592787835453,-1.78340352679713,-0.771918131700293,-0.242279839515566,-1.1792513393473,-0.451315070174318,0.121998032321036,-0.734191225520772,-0.0736482075896455,-0.646338664815417
"Mozambique",-0.954162621548168,0.336937766729672,0.242592787835453,0.267797985398143,-1.72887701215169,-0.0508727573987151,0.978768620737987,-0.300867248738547,-0.813252191232497,-1.63044864037469,-0.530582068642965,-1.87738705014235
"Myanmar",-1.30652922888935,0.0230147542679443,-2.17587069797367,-0.649227794820737,-0.00635102733917836,-0.0893660326099383,-0.842060720492931,-0.152281696063466,-1.08886287229603,-1.26102974821555,-1.73796866506446,-1.1742457083488
"Namibia",0.42249560942149,-0.757286131142051,0.847208659469119,0.758631378135853,-0.00635102733917836,0.34666502929738,0.331362632744772,-0.978985449475855,0.798106964819046,-1.50386513158504,-0.561638392926097,0.719549721761502
"Nepal",-0.494600562409254,0.832210608164594,0.242592787835453,-1.33464156763814,-0.771918131700293,-0.610370383142049,0.978768620737987,1.17034894620079,-0.395405654673701,-1.29324582247531,-0.324731364238672,0.0340291439854159
"Netherlands",2.09492664562073,1.30003876681897,0.847208659469119,0.85833191068442,1.14199962920249,1.2595295762048,0.735991375240531,-2.08271476682356,1.92233731057744,0.902576352587866,1.38900968871683,1.22025446243572
"New Zealand",1.69274515787287,1.26215554812581,0.847208659469119,1.35354774418573,1.14199962920249,1.13437879176757,0.735991375240531,-0.00545652200670574,2.28452580472016,0.868089728442569,1.3711131676275,2.08193264417679
"Nicaragua",-0.821778382613026,0.157536293033674,0.242592787835453,0.277439356024661,-1.15470168388085,-0.396877867640804,-0.0328032355014116,1.23057451077671,-0.49842495720909,0.614224447293227,0.677384314368618,-0.0137260317666401
"Niger",-0.586615828843806,-0.812261224930789,-0.362023083435443,0.213236595021969,-0.580526355610015,-1.44961682144785,-0.909498844134323,0.294664034704095,-1.01476565504072,-0.877237178076168,-1.29925078823964,0.0407840177311922
"Nigeria",-0.478489730818137,-2.03973234384897,-0.362023083435443,-0.0685543614004581,0.759216077021937,0.300356335234657,-1.1792513393473,0.492135781923561,-1.05107696997036,-0.559406654299407,-0.944112029421632,0.532740145579889
"Norway",2.11450659518002,1.30626103320085,0.847208659469119,-0.0214431209731902,1.14199962920249,1.30370044173681,0.978768620737987,-1.62377746948521,2.26041926136605,0.899513971723718,0.482763960382584,0.696490837453357
"Oman",0.462088814312301,0.200670261747089,-0.362023083435443,-1.42601546291336,-1.72887701215169,-1.44961682144785,-2.25826131922809,-1.59227016948274,0.472515992866348,0.391580269694107,0.584271603000821,-0.180379914589594
